"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.93451410475097e-74,0.351809569966255,0.889,0.806,5.63133256701711e-70,"TOMM40"
2.62078781801262e-73,0.433664302941607,0.787,0.646,5.02929182276622e-69,"TM7SF3"
3.02559342665146e-73,0.844953130573445,0.258,0.125,5.80611378574415e-69,"GNG7"
6.12878224942093e-71,0.875922551950517,0.287,0.152,1.17611331366388e-66,"MRPL38"
8.50205184539198e-71,0.395326676305951,0.809,0.688,1.63154374913072e-66,"PSMA2"
8.03167670193829e-70,-1.84760535747111,0.042,0.132,1.54127875910196e-65,"GSTM1"
1.22888201299817e-69,-1.46352628276978,0.084,0.191,2.35822458294349e-65,"HMGN4"
5.37702668199869e-69,-0.345326091551815,0.893,0.918,1.03185142027555e-64,"NDUFA3"
1.80777415576559e-68,0.334248547694404,0.872,0.767,3.46911860491416e-64,"LMAN2"
3.71599860998455e-67,0.942553254850043,0.239,0.117,7.13100133256036e-63,"RAVER1"
8.03537388969263e-67,0.626656925862758,0.423,0.268,1.54198824943202e-62,"DYM"
4.09439657034817e-66,0.573065933512171,0.513,0.355,7.85714701849814e-62,"ITGB2"
5.12709029817289e-66,0.250760507559125,0.977,0.952,9.83888628219378e-62,"H2AFY"
7.66773006681185e-66,-0.71856747617926,0.375,0.497,1.47143739982119e-61,"RPP21"
1.81485139495201e-65,0.803354866487326,0.308,0.173,3.4826998269129e-61,"GNG10"
3.7583381187476e-65,0.307549519822183,0.925,0.86,7.21225084987664e-61,"ATP5B"
3.81537028344751e-65,-1.17935772963871,0.142,0.258,7.32169557393578e-61,"DNLZ"
7.07238072433546e-65,0.396395755941661,0.779,0.66,1.35718986099997e-60,"CNN2"
9.09139863370486e-65,-1.8598512329675,0.04,0.125,1.74463939780796e-60,"RP5-821D11.7"
2.3082841257388e-64,0.430857637229901,0.758,0.631,4.42959723729275e-60,"GRN"
5.05421741895821e-64,0.30078383508922,0.979,0.953,9.6990432269808e-60,"GYPC"
4.33317218600847e-63,0.465299943705072,0.616,0.456,8.31535742495026e-59,"HPCAL1"
5.50976370493869e-63,0.266926036072693,0.961,0.917,1.05732365497773e-58,"PPA1"
2.1324579981324e-62,0.280878905164646,0.941,0.884,4.09218689841607e-58,"CAPZB"
4.47497366565418e-62,-1.45070122304299,0.075,0.173,8.58747446439036e-58,"GLIDR"
9.24411347867527e-62,0.377498682511123,0.845,0.745,1.77394537655779e-57,"APLP2"
1.88950152940633e-61,-2.00860570961912,0.032,0.109,3.62595343493075e-57,"RWDD3"
5.26370412441046e-61,0.506402364318875,0.564,0.41,1.01010482147437e-56,"PFKL"
7.72538124290396e-60,0.45651950428172,0.591,0.432,1.48250066051327e-55,"CHID1"
2.45002968955972e-59,0.762553354630513,0.316,0.188,4.7016069742651e-55,"RGL4"
2.0371369031526e-58,0.495328385732772,0.536,0.383,3.90926571714984e-54,"ACOT7"
3.7799554124624e-58,-0.76430418451166,0.341,0.45,7.25373443651534e-54,"GLMN"
1.10487608987405e-57,-1.15805197163187,0.134,0.24,2.1202572164683e-53,"C22orf34"
2.0576051393543e-57,0.37603038414611,0.738,0.605,3.94854426242089e-53,"PHF5A"
2.27038660070351e-57,0.422494405887785,0.739,0.624,4.35687188675003e-53,"LRPAP1"
4.46135057363698e-57,-0.476243152381814,0.877,0.879,8.56133175080936e-53,"HLA-DRB1"
5.55981127352554e-57,0.302675525552844,0.928,0.873,1.06692778338955e-52,"CORO1A"
9.74905739285431e-57,-1.67413459420955,0.048,0.129,1.87084411368874e-52,"CMC4"
1.39222899636537e-56,0.606153501047883,0.6,0.477,2.67168744402515e-52,"DLK1"
2.05678006478586e-55,-0.36451750647884,0.79,0.828,3.94696094432406e-51,"CDK2AP1"
2.64819570596893e-55,-0.250584741729377,1,1,5.08188755975437e-51,"MALAT1"
2.73091914874504e-55,0.28017587313534,0.915,0.847,5.24063384644173e-51,"AGPAT2"
5.02991886473952e-55,0.300536716311864,0.88,0.806,9.65241430143514e-51,"SSRP1"
5.53270527038285e-55,0.486310069629769,0.54,0.397,1.06172614138647e-50,"TRAP1"
1.18502591724402e-54,0.46969568342586,0.582,0.44,2.27406473519128e-50,"SYTL1"
6.45322251938551e-54,0.343465277739823,0.805,0.708,1.23837340147008e-49,"AHCY"
1.0474939672965e-53,0.596092671126209,0.377,0.243,2.01014092324198e-49,"GSN"
2.03541846808693e-53,0.285260813980997,0.922,0.872,3.90596804025882e-49,"PRSS57"
1.38920936413507e-52,-0.299061226565282,0.882,0.902,2.6658927697752e-48,"C12orf57"
1.95783969335959e-52,0.271378258897143,0.93,0.868,3.75709437155706e-48,"CYBA"
2.46723466543549e-52,0.251181127712829,0.944,0.895,4.73462332297071e-48,"UBE2L3"
7.0157159310771e-52,-0.995462335574776,0.16,0.263,1.3463158871737e-47,"UBE2V1"
8.05069707635264e-52,0.250216111951727,0.954,0.914,1.54492876895207e-47,"HSPD1"
1.71559409769759e-51,0.422798395632023,0.644,0.512,3.29222507348167e-47,"TARS"
2.18827534749011e-50,0.292806748442057,0.901,0.833,4.19930039183352e-46,"CRELD2"
1.45004219036133e-49,-1.43791760485893,0.062,0.143,2.78263096330339e-45,"HLA-DRB5"
2.40108315959413e-49,0.484803214045177,0.5,0.361,4.60767858326113e-45,"ACO2"
2.99493556186842e-49,0.421668197924665,0.586,0.445,5.74728134322549e-45,"SSBP3"
3.29506013144236e-49,0.316488032515792,0.808,0.709,6.32322039223789e-45,"NDUFV1"
6.09189001078175e-49,-1.04339217071465,0.132,0.23,1.16903369306902e-44,"ZNF521"
1.79776499415589e-48,0.295426715650448,0.844,0.756,3.44991102378515e-44,"RAC3"
1.00151948789241e-47,-1.24274914771948,0.095,0.182,1.92191589726553e-43,"APITD1-CORT"
1.21861387349867e-47,0.265993166884769,0.9,0.822,2.33852002324396e-43,"GRB2"
4.06717801167622e-47,0.754039994438989,0.232,0.13,7.80491460440667e-43,"TBC1D22A"
8.46874572951952e-47,0.309933224939346,0.786,0.695,1.6251523054948e-42,"MAP2K2"
