"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.01364637223575e-192,-0.414874102639169,0.972,0.984,5.7831873883204e-188,"PKM"
2.05079597489326e-191,0.408246627050979,0.983,0.939,3.93547747582016e-187,"SF3B5"
2.69547856569456e-188,-0.731912583269892,0.693,0.785,5.17262336756785e-184,"NPC2"
8.00235550496894e-185,0.251405856626133,0.999,0.997,1.53565202140354e-180,"CHCHD2"
2.47148166351619e-179,0.390184171679005,0.982,0.936,4.74277331228757e-175,"LAGE3"
3.24128003698102e-178,0.525378935057727,0.903,0.781,6.22001639096658e-174,"ZNF593"
1.89990980758762e-177,-1.12263374226981,0.434,0.602,3.64592692076064e-173,"TPSAB1"
2.21791649332396e-177,0.54471587155354,0.892,0.766,4.25618175068868e-173,"EBNA1BP2"
9.59954985202934e-176,-0.803763793282142,0.545,0.695,1.84215361660443e-171,"LPXN"
2.5977109078116e-175,-0.751105702054802,0.669,0.777,4.98500723209046e-171,"CD47"
5.79915859688908e-175,0.552844351455935,0.877,0.728,1.11285853474301e-170,"LRRC59"
1.62908602087285e-173,-1.2570754105162,0.277,0.468,3.12621607405501e-169,"HLA-DMB"
4.48065594298868e-172,0.364084879589821,0.986,0.955,8.59837875459527e-168,"TRMT112"
7.5893543892659e-172,-2.55361306076331,0.043,0.186,1.45639710730013e-167,"KCTD12"
1.06337354161021e-171,0.31967420246849,0.996,0.983,2.04061382634999e-167,"TIMM13"
2.91009453646831e-170,1.27346721714767,0.402,0.188,5.5844714154827e-166,"RGL4"
1.33012994870653e-169,-4.26728329859224,0.009,0.117,2.55251937156783e-165,"CLEC4A"
9.11161702388313e-167,0.413827553157861,0.965,0.902,1.74851930688317e-162,"MRPL12"
1.09136382748985e-165,0.51206576602622,0.933,0.84,2.09432718495302e-161,"RNASEH2C"
4.19358916692751e-165,0.363303666405347,0.975,0.937,8.04749761133389e-161,"TOMM22"
2.65010247723762e-163,-1.11385257872001,0.31,0.491,5.08554665381899e-159,"IQGAP1"
