"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.87812113889037e-132,0.308577585630578,0.972,0.951,3.60411446553062e-128,"0","NPW"
4.23598365110493e-132,0.557804812336703,0.669,0.581,8.12885262647036e-128,"0","FKBP11"
1.77471922936845e-127,0.271469785393485,0.952,0.946,3.40568620115806e-123,"0","P4HB"
3.48866156223555e-127,0.269049203941724,0.983,0.974,6.69474153793001e-123,"0","RBM3"
4.68000965751521e-124,0.325202544786955,0.92,0.894,8.98093853277169e-120,"0","EIF4B"
4.23374925138523e-123,0.362289192612076,0.879,0.855,8.12456481340827e-119,"0","EBNA1BP2"
1.01204977805258e-117,0.253219233848837,0.992,0.986,1.94212352408291e-113,"0","SNHG8"
3.55949853854537e-114,0.543013090330244,0.617,0.522,6.83067769546856e-110,"0","CTSG"
1.94235473167856e-113,0.256133731868391,0.961,0.951,3.72737873009116e-109,"0","EBPL"
3.71703322088527e-111,1.24609161199962,0.269,0.171,7.13298675087883e-107,"0","CTA-29F11.1"
3.65850192663827e-110,0.298077530373547,0.849,0.818,7.02066519721884e-106,"0","HSP90B1"
2.10980531542063e-107,0.30127338918297,0.935,0.929,4.04871640029219e-103,"0","SEC61G"
2.23997933050148e-107,0.541896769881368,0.46,0.347,4.29852033523235e-103,"0","RNASE2"
5.26282883839376e-105,0.320563143954377,0.902,0.889,1.00993685408776e-100,"0","NPM3"
9.66265587306051e-103,0.333502181424984,0.858,0.842,1.85426366204031e-98,"0","TMED10"
2.26602210572602e-85,0.29847354398827,0.873,0.852,4.34849642088824e-81,"0","C20orf27"
6.72348970714335e-85,0.281269535885822,0.914,0.912,1.29023767480081e-80,"0","COMT"
4.21115092697288e-82,0.276249540628721,0.883,0.862,8.08119862886096e-78,"0","RAC3"
9.70576092414815e-82,0.322991416783166,0.8,0.768,1.86253552134403e-77,"0","GLRX"
1.15644037659769e-81,0.403242489722628,0.464,0.36,2.21920908269097e-77,"0","UNG"
4.0661894461287e-75,0.732694147467322,0.371,0.289,7.80301754712097e-71,"0","HOMER3"
9.96564175038393e-73,0.271299797819331,0.894,0.899,1.91240665189868e-68,"0","MLEC"
4.18662972614303e-72,0.342979902242822,0.767,0.756,8.03414244446847e-68,"0","MFSD10"
7.11048679893028e-70,0.260682979722926,0.866,0.861,1.36450241671472e-65,"0","MRPL4"
1.69232114432838e-63,0.822341153793821,0.298,0.227,3.24756427596615e-59,"0","CTB-31O20.2"
2.62713946312478e-63,0.547439689635419,0.5,0.447,5.04148062973645e-59,"0","TOP1MT"
1.43437837469139e-62,0.308493674188466,0.794,0.804,2.75257210103278e-58,"0","TUSC2"
2.05988622265144e-59,0.315617918250445,0.731,0.693,3.9529216612681e-55,"0","RAB27A"
2.48239472911266e-58,0.383794465625021,0.672,0.656,4.76371548516719e-54,"0","ZEB2"
2.02014708880888e-57,0.294743873222011,0.767,0.753,3.87666226342425e-53,"0","RPP25"
5.48346468337965e-57,0.365833288641802,0.615,0.595,1.05227687274056e-52,"0","NCBP2-AS2"
6.16968099252767e-56,0.370193688884311,0.673,0.659,1.18396178246606e-51,"0","EPB41L4A-AS1"
6.23771659923514e-54,0.386798440559511,0.617,0.607,1.19701781539322e-49,"0","ABHD14B"
2.52620318214001e-53,0.54428344538446,0.405,0.338,4.84778390652668e-49,"0","CEBPD"
