"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.00026747574239e-149,-0.760934641997319,0.503,0.671,9.59551328594965e-145,"IMPA2"
3.17684086806954e-148,-0.262022047987214,0.998,0.999,6.09635762582545e-144,"FKBP1A"
7.14943018198138e-146,0.289399703106278,0.995,0.991,1.37197565192223e-141,"GTF3A"
7.44343795842808e-146,-1.09870143468025,0.28,0.469,1.42839574422235e-141,"TNFSF10"
7.73747359371647e-145,-1.36427987065174,0.168,0.347,1.48482118263419e-140,"FUCA1"
8.91150890906648e-144,0.564324968034627,0.841,0.729,1.71011855964986e-139,"APOA1BP"
2.4200725175919e-143,0.635356072909696,0.898,0.818,4.64411916125885e-139,"IGFBP2"
9.42948082156939e-143,0.340670717593488,0.988,0.971,1.80951736965917e-138,"EIF5B"
5.0404555056452e-142,0.321746309312728,0.996,0.993,9.67263411533314e-138,"HMGA1"
1.40881769418001e-141,0.543629589977303,0.899,0.769,2.70352115513143e-137,"SDF2L1"
8.3637940662541e-141,0.310323474746827,0.993,0.986,1.60501208131416e-136,"ATP5G1"
2.49639089867328e-140,-2.07370944624198,0.057,0.193,4.79057413455402e-136,"LILRA2"
5.47046982738375e-140,-1.48621296630277,0.142,0.311,1.04978315987494e-135,"SELL"
8.62169008943567e-140,0.618201433207629,0.829,0.682,1.65450232816271e-135,"RP6-159A1.4"
6.37395756052005e-139,-0.63332386508292,0.628,0.76,1.2231624558638e-134,"RNASET2"
8.98944104298846e-139,-0.849339806582493,0.315,0.506,1.72507373614949e-134,"S100A10"
4.35380820213605e-138,-2.79182332599487,0.022,0.132,8.35495793989908e-134,"GBP1"
5.22063478120747e-138,0.252203201095466,0.999,1,1.00183981451371e-133,"TXN"
3.54959099823745e-137,-0.88151164866731,0.386,0.569,6.81166512561766e-133,"BIN1"
3.9428877763759e-136,-0.397967025280289,0.941,0.965,7.56640164286536e-132,"CSTB"
5.85314967328103e-136,0.393063315985102,0.957,0.918,1.12321942230263e-131,"ROMO1"
2.45120538912308e-135,-1.35845139221539,0.171,0.344,4.70386314172718e-131,"C1orf21"
9.88881593519287e-135,0.339602039310437,0.993,0.984,1.89766377796351e-130,"SNHG8"
2.10857610090787e-134,0.300288949636993,1,0.999,4.0463575376422e-130,"SH3BGRL3"
4.44538075669719e-134,-1.07848290614739,0.303,0.479,8.53068567210191e-130,"CTSH"
1.43130353235902e-133,-0.542433757105619,0.767,0.863,2.74667147859697e-129,"PNRC1"
3.57865191526721e-133,-0.504427352041127,0.682,0.825,6.86743302539777e-129,"PAGR1"
1.11206968268061e-131,-0.589544789206261,0.673,0.795,2.13406172106409e-127,"PYCARD"
1.89050785468138e-131,-0.525240670651007,0.67,0.8,3.62788457313357e-127,"SOCS2"
4.86922874392306e-131,-1.04755474449134,0.264,0.442,9.34404995958836e-127,"HEXB"
7.38458937188925e-131,0.302390268452192,0.989,0.98,1.41710270046555e-126,"PRR13"
3.20135252659893e-130,-0.519320678249013,0.719,0.824,6.14339549854334e-126,"RNF130"
3.35184543059882e-130,-0.868347446380869,0.365,0.541,6.43219138131913e-126,"HAUS4"
5.1847707970529e-129,0.781688356495043,0.618,0.43,9.94957515954452e-125,"NT5DC2"
1.50425934345584e-128,-0.974066778651291,0.31,0.486,2.88667368009176e-124,"IQGAP1"
2.15777997343964e-127,-0.916418288160612,0.327,0.502,4.14077976903067e-123,"DNASE2"
1.13335970602012e-126,0.292599924732834,0.994,0.992,2.17491727585261e-122,"IFITM2"
1.30480475906093e-124,0.327516662131375,0.984,0.966,2.50392033263792e-120,"PRDX5"
1.30871439274839e-124,-0.778721294411445,0.429,0.596,2.51142291968417e-120,"PHACTR1"
4.09257172638309e-124,1.16325741758645,0.626,0.464,7.85364514292914e-120,"CRIP1"
5.21288517163287e-124,-0.29839817781685,0.984,0.993,1.00035266443635e-119,"SLC25A3"
1.45074653488455e-122,-0.878079439473575,0.339,0.511,2.78398260044345e-118,"SPTBN1"
1.06671321882712e-121,0.320273917782009,0.987,0.98,2.04702266692924e-117,"SRM"
1.59335380265769e-121,-1.09417409598992,0.291,0.463,3.05764594730011e-117,"TM4SF1"
2.33262165368601e-121,-2.07817691589898,0.045,0.162,4.47630095342346e-117,"HLA-DOA"
1.29147726433228e-120,0.612356394586744,0.787,0.653,2.47834487025365e-116,"GLUL"
2.99418900702839e-120,-0.628005579110266,0.6,0.727,5.74584870448748e-116,"BPTF"
4.1615777711618e-120,0.405044484402441,0.943,0.882,7.98606774285949e-116,"C12orf57"
6.50514461494747e-118,0.30370235269862,0.981,0.959,1.24833725160842e-113,"MRPL23"
3.16952926430819e-117,-1.94476639606955,0.051,0.17,6.08232665820741e-113,"BIRC3"
9.99939521294985e-117,0.65532303066451,0.705,0.548,1.91888394136508e-112,"AZI2"
1.43840272330606e-116,-2.43431271738545,0.023,0.12,2.76029482602434e-112,"CD48"
2.73494908211221e-115,-0.574091271441054,0.569,0.725,5.24836728857332e-111,"MEF2C"
2.16785115546955e-114,-0.278463207867611,0.981,0.99,4.16010636734607e-110,"ZNF706"
