"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.15030243041044e-80,2.04433524408016,0.337,0.153,1.37214303639576e-75,"7","AC002454.1"
5.2335442520709e-208,1.8894786269943,0.687,0.347,1.00431714197241e-203,"7","FAM213A"
2.30237339502977e-283,1.84526300218141,0.914,0.706,4.41825454506213e-279,"7","SPINK2"
6.26916167758071e-106,1.84369657907478,0.37,0.146,1.20305212592774e-101,"7","CCNE1"
1.53619296500197e-92,1.7196589009366,0.43,0.216,2.94795429983878e-88,"7","MFGE8"
5.3856821769254e-54,1.6469434357307,0.291,0.142,1.03351240975198e-49,"7","GSTM5"
6.79445417063488e-53,1.64151063031849,0.256,0.116,1.30385575534483e-48,"7","E2F2"
3.20831914488451e-65,1.60431524811253,0.36,0.181,6.15676443903337e-61,"7","KCNMB1"
1.28119367431742e-92,1.56142203518773,0.482,0.257,2.45861066101513e-88,"7","CDC45"
0,2.25518591791823,0.914,0.306,0,"8","CCNB2"
0,2.14261630133653,0.949,0.353,0,"8","CCNB1"
0,2.09947074571326,0.643,0.159,0,"8","HMMR"
0,1.94737481328669,0.996,0.896,0,"8","ARL6IP1"
0,1.85991750012073,0.995,0.82,0,"8","HSP90B1"
0,1.81444819730694,0.879,0.288,0,"8","PLK1"
6.44202213667444e-186,1.7179893907975,0.52,0.148,1.23622404802782e-181,"8","BUB1"
7.88528356592898e-231,1.68596226688103,0.991,0.795,1.51318591630177e-226,"8","HSPA8"
1.10304143698456e-111,1.65969715325722,0.261,0.063,2.11673651757336e-107,"8","SPA17"
3.50108693292699e-193,1.64956653189068,0.571,0.17,6.71858582428689e-189,"8","KIF4A"
0,8.47844491332786,0.761,0.005,0,"9","STRAP"
0,8.02073102038909,0.531,0.003,0,"9","TPTEP1"
0,6.05329644000334,0.273,0.009,0,"9","PMP22"
0,5.03554137334045,0.308,0.014,0,"9","GATA1"
0,4.79324847894344,0.266,0.02,0,"9","CNRIP1"
0,4.70664949904048,0.311,0.015,0,"9","MOCS2"
4.99926116922089e-182,4.56406614330287,0.271,0.038,9.59358218373488e-178,"9","CYP1B1"
5.58378266517576e-103,4.14700683253968,0.303,0.075,1.07152789344723e-98,"9","LXN"
0,3.82661671312717,0.411,0.041,0,"9","REEP5"
8.85780519367072e-156,3.63124813468899,0.325,0.063,1.69981281666541e-151,"9","FCER1A"
0,7.33635185808427,0.374,0.003,0,"10","GIMAP4"
0,7.11380816823584,0.284,0.002,0,"10","RORA"
0,6.96876509147772,0.378,0.005,0,"10","TRBC1"
0,6.71722691211317,0.266,0.004,0,"10","KLRB1"
0,6.6471123897418,0.324,0.004,0,"10","CD3G"
0,6.63249850396139,0.417,0.005,0,"10","IL7R"
0,6.54697235078839,0.306,0.005,0,"10","GNLY"
0,6.53302931392548,0.353,0.006,0,"10","CD3E"
0,6.33980876865558,0.252,0.005,0,"10","FGFBP2"
0,5.93232071475379,0.5,0.012,0,"10","TRAC"
